WorkoutWarmupScreen: compose display 411x915 vs kivy display 411x915
tolerance: ±3.0% of display   (x,w over width; y,h over height)

  PASS  Warm up                              compose x= 13.6 y=  2.0 w= 21.7 h= 3.1  |  kivy x= 12.7 y=  0.0 w= 21.4 h= 2.8  |  worst Δ  2.0%
  PASS  Let's get you moving.                compose x=  3.9 y=  9.2 w= 56.9 h= 3.2  |  kivy x=  3.9 y=  9.2 w= 58.0 h= 3.2  |  worst Δ  1.0%
  PASS  Pick something fun for a few minut   compose x=  3.9 y= 14.1 w= 92.2 h= 4.0  |  kivy x=  3.9 y= 14.1 w= 92.2 h= 4.0  |  worst Δ  0.0%
  PASS  Dance to a song                      compose x= 19.7 y= 21.6 w= 25.5 h= 1.9  |  kivy x= 19.9 y= 21.6 w= 26.0 h= 1.7  |  worst Δ  0.5%
  PASS  4 min                                compose x= 47.2 y= 21.9 w=  7.5 h= 1.4  |  kivy x= 47.9 y= 21.8 w=  7.4 h= 1.4  |  worst Δ  0.7%
  PASS  🕺                                    compose x=  7.8 y= 22.3 w=  8.5 h= 3.9  |  kivy x=  7.8 y= 22.4 w=  8.7 h= 3.6  |  worst Δ  0.3%
  PASS  Put on one favourite track and mov   compose x= 19.7 y= 23.5 w= 60.8 h= 3.3  |  kivy x= 19.9 y= 23.4 w= 60.4 h= 3.4  |  worst Δ  0.4%
  PASS  Sun salutations                      compose x= 19.7 y= 31.1 w= 24.8 h= 1.9  |  kivy x= 19.9 y= 31.1 w= 24.3 h= 1.7  |  worst Δ  0.5%
  PASS  5 min                                compose x= 46.5 y= 31.4 w=  7.3 h= 1.4  |  kivy x= 46.1 y= 31.3 w=  7.2 h= 1.4  |  worst Δ  0.3%
  PASS  ☀️                                   compose x=  7.8 y= 31.8 w=  8.5 h= 3.9  |  kivy x=  7.8 y= 31.9 w=  8.7 h= 3.6  |  worst Δ  0.3%
  PASS  6–8 slow rounds — hips, shoulders,   compose x= 19.7 y= 33.0 w= 60.8 h= 3.3  |  kivy x= 19.9 y= 32.9 w= 60.4 h= 3.4  |  worst Δ  0.4%
  PASS  Dynamic movement                     compose x= 19.7 y= 40.7 w= 32.4 h= 1.9  |  kivy x= 19.9 y= 40.7 w= 31.4 h= 1.7  |  worst Δ  0.9%
  PASS  5 min                                compose x= 54.0 y= 40.9 w=  7.3 h= 1.4  |  kivy x= 53.3 y= 40.8 w=  7.2 h= 1.4  |  worst Δ  0.7%
  PASS  🤸                                    compose x=  7.8 y= 41.3 w=  8.5 h= 3.9  |  kivy x=  7.8 y= 41.4 w=  8.7 h= 3.6  |  worst Δ  0.3%
